Article No.,URL,Summary
10,https://www.bloomberg.co.jp/news/articles/2022-08-08/RGAU6HT1UM0W01?srnd=cojp-v2,米プライベートエクイティー（ＰＥ、未公開株）投資会社 ＫＫＲは、リスクの高い債券を株式より選好していると明らかにした。同社は今年大きく売られてきた債券市場を物色している。ハイイールド債のスプレッドは拡大して長期的な平均値に達した一方、株式はなお歴史的な水準を上回る価格で取引されているとＫＫＲは指摘。「クレジットは魅力的な水準で取引されており、利回りには妙味がある」とクリス・シェルドン氏が共同で率いる同社のクレジット・マーケッツチームは８日の投資家向け書簡で説明した。プライベート市場では、「ジュニア債（劣後債）にとって黄金の一年になり得る」と分析した。ハイイールドの取引は2020年初期に見られた
11,https://www.bloomberg.co.jp/news/articles/2022-08-08/RGAVMDT1UM0W01?srnd=cojp-v2,米ゴールドマン・サックス・グループのチーフエコノミスト、ジャン・ハッチウス氏は、失業の大幅増加を招かずにインフレをトレンド水準に押し下げられる可能性は低いとし、リセッション（景気後退）を回避するのは狭い道だとの見方を示した。同氏はブルームバーグの「オッド・ロッツ」ポッドキャストでのインタビューで、サプライチェーン正常化と他の一時的要因の解消がインフレの自然な低下に寄与するとした上で、経済の過熱状態はその後も残り、それらを取り除くには痛みを伴うと述べた。ハッチウス氏は「より難しい部分は、インフレ率を４％から２％近辺に引き下げることだ。それを実現させるには労働市場の調整が必要だと考える。労働市場は
12,https://www.bloomberg.co.jp/news/articles/2022-08-08/RFYRVYDWX2PS01?srnd=cojp-v2,ソフトバンクグループの孫正義社長は８日の決算会見で、４－６月期（第１四半期）に創業来最大の赤字を計上したことを受け、運営する ビジョン・ファンド（ＳＶＦ）で大規模な人員削減を行うと表明した。傘下の米投資会社 フォートレス・インベストメント・グループの売却方針も明らかにした。孫社長は、業績悪化が始まった前期（2022年３月期）から経営の守りを固めるため、投資規模の縮小や保有資産の現金化を進めてきたが、「次に行うのはコスト削減」だと強調。企業評価に対しバブル状態にあったのではないかと反省しており、ＳＶＦの人員削減は「シニアやジュニア、フロントやバック」など「聖域なく、世界的に行うべき」と語った。ま
13,https://www.bloomberg.co.jp/news/articles/2022-08-04/RG2F46DWRGG201?srnd=cojp-v2,米 アップルは「ｉＰａｄ（アイパッド）」の次期基本ソフト（ＯＳ）提供を約１カ月遅らせる見通しだ。事情に詳しい複数の関係者が明らかにした。「ｉＰｈｏｎｅ（アイフォーン）」の次期ＯＳと同時にリリースしないという異例の措置を取る。ここ数年、アップルはアイパッド向け「ｉＰａｄＯＳ」とアイフォーン向け「ｉＯＳ」の最新版を９月に同時にリリース。「ｉＯＳ16」はいつもの時期に提供する計画だが、「ｉＰａｄＯＳ16」は10月までリリースしないと、関係者が協議の非公開を理由に匿名で語った。ｉＰａｄＯＳ16の提供が遅れる要因の一つとしては、アイパッドのマルチタスク機能を全面的に見直す大掛かりな取り組みがある。今回の
14,https://www.bloomberg.co.jp/news/articles/2022-08-01/RF54ZUDWLU6801?srnd=cojp-v2,日本酒「獺祭」売上高が過去最高、輸出と現地生産で世界に挑む「山口の山奥の小さな酒蔵」旭酒造。「獺祭（だっさい）」のブランドで知られる創業74年の日本酒メーカーだ。同社の売上高は今期、過去最高となる150億円を超える見通しとなった。うち半分程度は海外が占め、将来的にその割合は９割まで上昇する見込みという。国内マーケットが縮小する中、輸出と現地生産を両輪とする海外戦略で成長を加速させる。４代目蔵元の桜井一宏社長（45歳）に話を聞いた。旭酒造の海外増収をけん引するのは、中国を中心とするアジア市場だ。2021年９月期の輸出売上高70億円のうち、約50億円はアジア地域だった。その他にも、フレンチシェフの
15,https://www.bloomberg.co.jp/news/articles/2022-08-01/RDWT8JT0AFB401?srnd=cojp-v2,岸田文雄首相がスタートアップの成長を促し「新しい資本主義」の担い手となることを目指して打ち出した支援策を巡り、国内の著名起業家からは長期的な支援となるかが課題との声が上がっている。柴田陽氏 Source: Bloomberg連続起業家としても知られ、業務系システム開発のソフトウエアを提供するテイラー創業者の柴田陽氏は７月のインタビューで、政府が提供するスタートアップ向けの支援策は過去の事例から判断すると「長続きしない印象」だと話した。柴田氏は過去に日本交通のタクシー配車アプリなどを手掛けたことでも知られている。テイラーは６月、米ベンチャーキャピタル Ｙコンビネーターのスタートアップ養成プログラ
16,https://www.bloomberg.co.jp/news/videos/2022-08-08/RGANZ6DWLU6801,韓国ドラマはいかにグローバルになったか映画「パラサイト 半地下の家族」やネットフリックスのドラマ「イカゲーム」などの人気は、韓国映画・ドラマのジャンルをグローバルカルチャーの最前線に押し出した。その飛躍の背景をポッドキャスト「Ｋドラマリポート」の運営者が語る。動画リポート。 (Source: Bloomberg)
17,https://www.bloomberg.co.jp/news/videos/2022-08-08/RGAMVYDWLU6801,預けた荷物を航空会社が紛失したら最大3800ドルを補てん米国で飛行機に預けた荷物を航空会社が無くした場合、最大で3800ドルまで払ってもらえるのをご存じだろうか。航空旅客の権利を定めた米運輸省のルールなどについて、ブルームバーグのティム・ステノベック記者が動画で解説する。 (Source: Bloomberg)
18,https://www.bloomberg.co.jp/news/videos/2022-08-08/RGAMUMDWLU6C01,米東海岸のコンテナ港に見るサプライチェーン問題米東海岸のニューヨーク・ニュージャージー港は、西海岸のようなコンテナ船の渋滞をおおむね回避してきた。しかし、休暇シーズンの積み荷ラッシュで状況は一変するかもしれず、港湾当局は対応に懸命だ。動画リポート。 (Source: Bloomberg)
19,https://www.bloomberg.co.jp/news/videos/2022-08-05/RG53NPDWX2PS01,現代の「ストレンジャー・シングス」「ストレンジャー・シングス 未知の世界」は ネットフリックスの大ヒット作となり、同社に利益をもたらした。そのタイトルは図らずも、私たちが直面する最近の諸問題をうまく表現している。ブルームバーグのデービッド・ウェスティンが動画でリポートする。 (Source: Bloomberg)
20,https://www.bloomberg.co.jp/news/videos/2022-08-05/RG53C3DWX2PT01,戦時下で経済再建に立ち向かうウクライナウクライナ軍は、はるかに強力な敵を阻止することに目を見張る成功を収めてきた。しかし、ゼレンスキー大統領が望む条件で戦争を終結させるためには、国内の農場、産業、企業を砲火の下で再建する必要がある。動画リポート。 (Source: Bloomberg)
21,https://www.bloomberg.co.jp/news/videos/2022-08-05/RG538RDWRGG001,米経済はリセッションに向かっているのか米経済のリセッション（景気後退）入りの懸念が市場や投資家の圧迫材料になっているが、景気は力強い状態にあるという見方もある。ブルームバーグTVのデービッド・ウェスティンが動画でリポートする。 (Source: Bloomberg)
22,https://www.bloomberg.co.jp/news/videos/2022-08-04/RG3AJUDWLU6A01,アップル「ｉＰａｄ」の進化は不十分アップルの「ｉＰａｄ（アイパッド）」に採用された最新のマルチタスク機能であるステージマネジャーについて、ブルームバーグのマーク・ガーマン記者が解説、今回の変更は「プロ」ユーザーには不十分だと指摘する。動画リポート。 (Source: Bloomberg)
23,https://www.bloomberg.co.jp/news/videos/2022-08-04/RG3AJ2T1UM0W01,中国不動産危機で何が起きているか「市民の不満がこれほどまで広範に表面化したのは初めてです」。中国で住宅開発プロジェクトが未完成のまま停滞していることに対して、住宅購入者がローンの支払いをボイコットする動きが広がっている。その影響について、ブルームバーグのレベッカ・チューン・ウィルキンス記者が動画で解説する。 (Source: Bloomberg)
24,https://www.bloomberg.co.jp/news/videos/2022-08-03/RG1JIJDWX2PT01,アイドリングと闘うニューヨーク市の活動家街の大気の質を改善するという使命に取り組んでいるニューヨーカーがいる。路肩でアイドリングをしている車を市当局に通報することで少なくない報奨を得ているという。動画リポート。 (Source: Bloomberg)
25,https://www.bloomberg.co.jp/news/videos/2022-08-03/RG1JEIDWRGG001,王族のような暮らしを体験1535年にイングランド王のヘンリー８世と２番目の王妃アン・ブーリンが滞在した部屋で眠ることができるという。ソーンベリー城はゲストにチューダー朝の歴史と現代のぜいたくを提供し、さらにタカ狩りにも挑戦できるという。動画リポート。 (Source: Bloomberg)
26,https://www.bloomberg.co.jp/news/videos/2022-08-03/RG1J90DWX2PU01,ヒラリー氏とフィッシュアンドチップスを楽しんだ日：ＩＲＣ委員長国際救済委員会（ＩＲＣ）のデービッド・ミリバンド委員長が、元米国務長官のヒラリー・クリントン氏を、自身の元選挙区である英サウスシールズにあるフィッシュアンドチップスの店に招いたエピソードを振り返る。ヒラリー氏は、ビネガーやタルタルソース、そしてグリーンピースのピューレ「マッシーピー」をつけてフィッシュアンドチップスを楽しんだという。聞き手はエマ・バーネット氏。インタビューは６月21日に収録した。動画リポート。 (Source: Bloomberg)
27,https://www.bloomberg.co.jp/news/videos/2022-08-03/RG0MSADWX2PS01,レゴ創業家の富豪、魚の皮を使った傷治療の企業に投資アイスランドのベンチャー企業ケレシスは、慢性的な傷の治癒を早めるため魚の皮の脂肪酸を利用する治療法に取り組み、2016年に米食品医薬品局（ＦＤＡ）から承認を得ている。 (Source: Bloomberg)
28,https://www.bloomberg.co.jp/news/videos/2022-08-03/RG0LY0T0AFB701,グテレス国連事務総長、「核兵器による滅亡」を警告「今日、人類はたった一つの誤解、一つの誤算で、核兵器による滅亡を迎えます」。国連のグテレス事務総長は、ニューヨークの国連本部で開かれた核拡散防止条約（NPT）再検討会議の演説でこう警告した。 (Source: Bloomberg)
29,https://www.bloomberg.co.jp/news/videos/2022-08-02/RFZN7JT1UM0Y01,アートを通じて橋を架ける「人々の間に橋を架けることができます。これこそアートのあるべき姿です」。フランスから香港まで、また伝統的世界からメタバースまで、人々を結び付ける橋渡しをしたいと願うアートギャラリーが香港にある。動画リポート。 (Source: Bloomberg)
30,https://www.bloomberg.co.jp/news/videos/2022-08-02/RFZL2ZDWLU6901,有名人の二重生活には驚かない：アルレッド弁護士かねて女性の権利を訴えている弁護士のグロリア・アルレッド氏は、ハリウッドの有名男性と訴訟で対決することがしばしばあるが、名声や権力を持つ人たちに幻想を抱いていないので、彼らの悪事に失望するようなことはないと語った。聞き手はエマ・バーネット氏。インタビューは７月６日に収録した。動画リポート。 (Source: Bloomberg)
31,https://www.bloomberg.co.jp/news/videos/2022-08-02/RFZKXKDWRGG001,死刑は二度と描かない：法廷画家ジェーン・ローゼンバーグ氏法廷画家のジェーン・ローゼンバーグ氏は、かつて電気椅子による死刑が執行された男性の様子を描いた後、自らに責任の一端があると感じたと語る。同氏は、この経験の影響で死刑を取材するのはやめようと決めたという。国が認める殺人に関与したくないのがその理由だ。聞き手はエマ・バーネット氏。インタビューは４月13日に収録した。動画リポート。 (Source: Bloomberg)
32,https://www.bloomberg.co.jp/news/videos/2022-08-02/RFZ0MVDWX2PS01,米国で現地生産へ、高級日本酒「獺祭」の製造工程高級日本酒のパイオニアである「獺祭（だっさい）」は、コストをかけた技術によるクリーンで華やかな味わいでファンに知られている。醸造元である旭酒造は日本と同じ醸造法の酒蔵をニューヨーク州に建設し生産を始める計画だ。ブルームバーグの森来実が山口県の同社で製造工程を取材した。動画リポート。 (Source: Bloomberg)
33,https://www.bloomberg.co.jp/news/videos/2022-08-02/RFYXL1T1UM0Y01,北朝鮮、暗号資産を狙い履歴書偽造の疑い北朝鮮の資金調達手段の一環として、同国のハッカーが米国の暗号資産（仮想通貨）企業への就職のための履歴書を偽造した疑いが持たれている。 (Source: Bloomberg)
34,https://www.bloomberg.co.jp/news/videos/2022-08-01/RFXSE7T1UM0W01,「ワイルドライフ・ドローンズ」を創業した女性科学者「最初は裏庭の物置で弓のこやドリルを使ってアンテナを作りました」。ワイルドライフ・ドローンズは受賞歴のあるスタートアップ企業で、絶滅危惧種の追跡や外来種の制御を支援している。創業者のデビー・サンダース博士に話を聞いた。動画リポート。 (Source: Bloomberg)
35,https://www.bloomberg.co.jp/news/videos/2022-08-01/RFXS7ST0AFB401,「ＮＥＯＭ」は未来都市か空想か５年前から開発が進められている「ＮＥＯＭ（ネオム）」は、サウジアラビアのムハンマド・ビン・サルマン皇太子発案のＳＦから着想を得た巨大プロジェクトだ。しかし6200億ドルの政府系ファンドを使える支配者にとってさえ厄介な課題を抱えている。動画リポート。 (Source: Bloomberg)
37,https://www.bloomberg.co.jp/news/videos/2022-08-01/RFXS2XDWRGG201,インフレによる企業の損得ヘルマンのマヨネーズからベン＆ジェリーのアイスクリーム、ネスレのチョコレートまで、あらゆる商品がコスト上昇の圧迫を受けている。生活必需品に対するインフレの影響について、ブルームバーグのアレックス・ウェブ記者が動画で解説する。 (Source: Bloomberg)
38,https://www.bloomberg.co.jp/news/videos/2022-08-01/RFX273DWRGG001,ウィル・スミス氏、あの時の振る舞いは正しくなかった「あの時の振る舞いが正しかったと私はまったく思っていません」。俳優ウィル・スミスさんは、米アカデミー賞授賞式で平手打ちをした行為についてコメディアンのクリス・ロックさんに謝罪した。 (Source: Bloomberg)
39,https://www.bloomberg.co.jp/news/videos/2022-07-29/RFSI3YDWLU6801,スポーツ界の男女報酬格差女子スポーツは人気が高まる一方だが、多くの競技で報酬の不平等の問題は依然として解決できていない。格差是正の方法をブルームバーグのバネッサ・ペルドモ記者が探る。動画リポート。 (Source: Bloomberg)
40,https://www.bloomberg.co.jp/news/videos/2022-07-29/RFSI03T0G1KX01,「ロー対ウェイド」を覆す判決が女性の命を脅かす：アルレッド氏長年にわたり女性の権利を訴えてきた弁護士のグロリア・アルレッド氏が、「ロー対ウェイド判決」の前に自身が経験した悲惨な中絶手術について語った。そこから学んだのが、望まない妊娠の果てに命を危険にさらされる人がいてはならないということだった。聞き手はエマ・バーネット氏。インタビューは７月６日に収録した。動画リポート。 (Source: Bloomberg)
